alpha,auc,beta,build_seconds,converged,epsilon,experiment,friend_attacks,gamma,iterations,lambda1,lambda2,max_iterations,method,propagation_seconds,repeat,residual,runtime_beta,seed_count,x,xi,zeta
,1.0,,,,,toy_k,,,,,,,socact,,,,,,0.0,,
,1.0,,,,,toy_aggregate_k,,,,,,,socact,,,,,,0.0,,
,0.8333333333333334,,,,,toy_k,,,,,,,socact,,,,,,1.0,,
,1.0,,,,,toy_aggregate_k,,,,,,,socact,,,,,,1.0,,
,0.6666666666666666,,,,,toy_k,,,,,,,socact,,,,,,2.0,,
,0.6666666666666666,,,,,toy_aggregate_k,,,,,,,socact,,,,,,2.0,,
,0.5,,,,,toy_k,,,,,,,socact,,,,,,3.0,,
,0.5,,,,,toy_aggregate_k,,,,,,,socact,,,,,,3.0,,
,0.5,,,,,toy_k,,,,,,,socact,,,,,,4.0,,
,0.5,,,,,toy_aggregate_k,,,,,,,socact,,,,,,4.0,,
,0.5,,,,,toy_k,,,,,,,socact,,,,,,5.0,,
,0.5,,,,,toy_aggregate_k,,,,,,,socact,,,,,,5.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,1.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,2.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,3.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,4.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,5.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,6.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,7.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,8.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,9.0,,
,0.5,,,,,toy_n,,,,,,,socact,,,,,,10.0,,
0.1,0.9027449406019628,0.04,0.0766473039984703,True,0.001,friendship_attack,1600,0.425,28,2.0,3.0,100000,scasan,0.15733220900438027,0,0.0009576927422976754,,10,1600.0,2e-05,0.27
0.1,0.7537182232239282,0.04,1.6524952399995527,True,0.001,friendship_attack,1600,0.425,15,2.0,3.0,100000,socact,1.02006004100258,0,0.0009024915964615539,,10,1600.0,2e-05,0.27
0.1,0.717433316116511,0.04,0.017166012003144715,True,0.001,friendship_attack,1600,0.425,6,2.0,3.0,100000,friendship,0.015140029005124234,0,0.0008910938062876437,,10,1600.0,2e-05,0.27
0.1,0.864813995711446,0.04,0.07447501299611758,True,0.001,friendship_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.15462054299860029,0,0.0009575168004207518,,10,3200.0,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,friendship_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,3200.0,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,friendship_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,3200.0,2e-05,0.27
0.1,0.8332234587031038,0.04,0.06665224699827377,True,0.001,friendship_attack,6400,0.425,28,2.0,3.0,100000,scasan,0.13131621899810852,0,0.0009577051136738385,,10,6400.0,2e-05,0.27
0.1,0.5889111924997261,0.04,1.507528640999226,True,0.001,friendship_attack,6400,0.425,15,2.0,3.0,100000,socact,0.9386937079980271,0,0.0009020916810373471,,10,6400.0,2e-05,0.27
0.1,0.5688074533189338,0.04,0.01905812400218565,True,0.001,friendship_attack,6400,0.425,6,2.0,3.0,100000,friendship,0.012865969998529181,0,0.0008482391326227783,,10,6400.0,2e-05,0.27
